# nstg=2468		 ndv=1024		 nctl=153

#  1:j            2:Mr         3:dtprv           4:dMr             5:n             6:p             7:d             8:t           9:he3          10:he4          11:li6          12:li7          13:be7          14:be9           15:b8          16:b10          17:b11          18:c12          19:c13          20:n13          21:n14          22:n15          23:o14          24:o15          25:o16          26:o17          27:o18          28:f17          29:f18          30:f19         31:ne18         32:ne19         33:ne20         34:ne21         35:ne22         36:na21         37:na22         38:na23         39:mg22         40:mg23         41:mg24         42:mg25         43:mg26         44:al25         45:al-6         46:al*6         47:al27         48:si26         49:si27         50:si28         51:si29         52:si30         53:si31         54:si32          55:p29          56:p30          57:p31          58:p32          59:p33          60:s30          61:s31          62:s32          63:s33          64:s34          65:s35          66:s36         67:cl33         68:cl34         69:cl35         70:cl36         71:cl37         72:ar34         73:ar35         74:ar36         75:ar37         76:ar38         77:ar39         78:ar40          79:k37          80:k38          81:k39          82:k40          83:k41         84:ca38         85:ca39         86:ca40         87:ca41         88:ca42         89:ca43         90:sc41         91:sc42         92:sc43         93:sc44         94:sc45         95:ti43         96:ti44         97:ti45         98:ti46         99:ti47        100:ti48         101:v45         102:v46         103:v47         104:v48         105:v49         106:v50         107:v51        108:cr47        109:cr48        110:cr49        111:cr50        112:cr51        113:cr52        114:cr53        115:cr54        116:mn49        117:mn50        118:mn51        119:mn52        120:mn53        121:mn54        122:mn55        123:fe51        124:fe52        125:fe53        126:fe54        127:fe55        128:fe56        129:fe57        130:fe58        131:co53        132:co54        133:co55        134:co56        135:co57        136:co58        137:co59        138:ni55        139:ni56        140:ni57        141:ni58        142:ni59        143:ni60        144:ni61        145:ni62        146:cu57        147:cu58        148:cu59        149:cu60        150:cu61        151:cu62        152:cu63        153:zn60        154:zn61        155:zn62        156:zn63        157:zn64
    24    2.801408e-01    6.546694e-02    2.570370e-02    8.502917e-05    4.401275e-07    9.379729e-11    9.273169e-12    1.156029e-14    5.571490e-04    3.956189e-15    3.201896e-15    8.770976e-19    2.137003e-14    3.640342e-27    3.024686e-17    2.381432e-14    2.692680e-10    2.957837e-12    5.960029e-17    2.200602e-14    6.613055e-12    5.262736e-22    4.905043e-17    9.092777e-11    6.514124e-13    2.887345e-13    5.373986e-18    9.094192e-17    1.890217e-14    5.582235e-24    5.812556e-20    3.447715e-13    4.466142e-13    9.540993e-12    7.926970e-19    5.005062e-16    2.497886e-12    1.182566e-23    1.789748e-18    9.814774e-12    1.874004e-11    1.845026e-09    8.778706e-18    1.315435e-14    7.731609e-16    2.183567e-10    1.509661e-22    4.200604e-17    3.174457e-10    3.606055e-09    3.655985e-07    1.818197e-07    6.852141e-07    4.785853e-16    8.286832e-13    2.613754e-09    1.407628e-08    3.469294e-07    2.731227e-21    1.451007e-16    7.257568e-11    1.795465e-09    4.647835e-07    4.411572e-07    5.857197e-06    7.516106e-17    1.986564e-13    1.053869e-09    8.776914e-09    6.163257e-07    3.935505e-22    2.258094e-17    8.585305e-12    2.696531e-10    1.492570e-07    1.393697e-07    1.235433e-06    4.144951e-18    2.998881e-14    3.239941e-10    1.732854e-09    5.120415e-08    1.702856e-23    2.374994e-18    1.920179e-12    5.212983e-11    1.110521e-08    1.571939e-07    4.063428e-19    6.047376e-16    5.479314e-12    4.863462e-10    2.411963e-07    1.188749e-20    2.399745e-14    9.125766e-12    2.498726e-08    1.416409e-06    3.002197e-04    1.941369e-20    3.045492e-16    1.650247e-11    5.336959e-09    4.351245e-06    1.524743e-04    2.456270e-02    1.115093e-20    2.890625e-14    3.303002e-11    1.299810e-07    1.176226e-05    4.683074e-03    3.117645e-02    4.023871e-01    2.742572e-20    8.147181e-16    5.571058e-11    2.573267e-08    3.438279e-05    9.389766e-04    4.239396e-02    2.500096e-20    3.669982e-14    5.201655e-11    2.970903e-07    2.783801e-05    5.414092e-03    3.214593e-02    3.790076e-01    9.096345e-21    7.605034e-16    7.394993e-11    1.869238e-08    7.596841e-06    1.663197e-04    6.730422e-03    9.775093e-21    2.324735e-14    1.498303e-11    1.840243e-08    1.490990e-06    2.542567e-04    2.960637e-03    6.586040e-02    1.289504e-21    1.921319e-17    2.070785e-13    8.102068e-11    4.136184e-08    1.694650e-06    1.203681e-04    3.298275e-18    3.704055e-15    7.819307e-12    9.544427e-10    2.964989e-07
    25    3.058930e-01    4.060907e-02    2.575215e-02    6.603665e-05    4.598863e-07    7.609549e-11    6.296288e-12    1.040811e-14    5.446024e-04    3.084707e-15    2.129544e-15    7.572251e-19    1.498505e-14    3.123534e-27    2.400734e-17    1.732226e-14    2.641995e-10    2.368483e-12    6.062548e-17    2.008812e-14    5.528000e-12    5.837773e-22    5.155190e-17    9.525036e-11    5.483577e-13    2.129336e-13    5.647829e-18    8.520756e-17    1.569465e-14    6.367143e-24    6.033663e-20    3.660426e-13    4.079947e-13    7.546184e-12    8.944516e-19    4.982819e-16    2.372133e-12    1.425467e-23    2.083732e-18    1.174754e-11    1.845059e-11    1.688346e-09    1.057837e-17    1.486611e-14    8.698727e-16    2.339822e-10    2.039796e-22    5.470650e-17    4.087040e-10    4.137992e-09    3.828526e-07    1.603160e-07    5.346589e-07    6.607128e-16    1.054866e-12    3.124669e-09    1.453328e-08    3.219990e-07    4.114784e-21    2.056384e-16    1.021651e-10    2.208915e-09    5.264551e-07    4.240789e-07    5.061345e-06    1.098076e-16    2.672273e-13    1.341995e-09    9.724688e-09    6.212993e-07    6.262060e-22    3.390088e-17    1.277553e-11    3.507930e-10    1.805413e-07    1.418300e-07    1.118203e-06    6.320596e-18    4.288974e-14    4.415277e-10    2.025177e-09    5.334825e-08    2.833512e-23    3.780017e-18    3.047879e-12    7.176895e-11    1.394553e-08    1.711545e-07    6.478837e-19    8.857015e-16    7.541100e-12    5.976894e-10    2.724922e-07    1.907755e-20    3.857639e-14    1.312773e-11    3.395205e-08    1.699443e-06    3.309414e-04    3.239154e-20    4.736646e-16    2.471043e-11    7.218545e-09    5.440682e-06    1.690011e-04    2.498406e-02    1.907133e-20    5.001032e-14    5.195099e-11    1.927813e-07    1.547664e-05    5.719387e-03    3.292109e-02    3.789704e-01    4.936635e-20    1.382798e-15    9.129463e-11    3.806819e-08    4.761017e-05    1.139943e-03    4.647692e-02    4.659402e-20    6.855147e-14    8.839461e-11    4.800814e-07    3.987940e-05    7.099762e-03    3.639767e-02    3.825318e-01    1.764059e-20    1.397333e-15    1.325794e-10    2.985001e-08    1.117266e-05    2.139246e-04    7.804188e-03    1.966721e-20    4.757350e-14    2.749146e-11    3.135132e-08    2.239673e-06    3.484460e-04    3.504979e-03    7.049609e-02    2.654861e-21    3.676247e-17    3.745983e-13    1.307957e-10    6.163883e-08    2.223453e-06    1.433128e-04    6.527420e-18    6.593034e-15    1.311287e-11    1.411589e-09    4.039795e-07
    26    3.316882e-01    1.400526e-01    2.579521e-02    5.087159e-05    4.791775e-07    6.103677e-11    4.190938e-12    9.235358e-15    5.322656e-04    2.377413e-15    1.387966e-15    6.492253e-19    1.041307e-14    2.667121e-27    1.882473e-17    1.248922e-14    2.589121e-10    1.878189e-12    6.140041e-17    1.824289e-14    4.627590e-12    6.426677e-22    5.455288e-17    9.960048e-11    4.568778e-13    1.560859e-13    5.922857e-18    7.993605e-17    1.301584e-14    7.334040e-24    6.299343e-20    3.877839e-13    3.733297e-13    5.966215e-12    1.016034e-18    4.988693e-16    2.257905e-12    1.738172e-23    2.442689e-18    1.419073e-11    1.830139e-11    1.552688e-09    1.292163e-17    1.697221e-14    9.886086e-16    2.523858e-10    2.799870e-22    7.223949e-17    5.340709e-10    4.809973e-09    4.045973e-07    1.420785e-07    4.181131e-07    9.283527e-16    1.362561e-12    3.776850e-09    1.512388e-08    3.004479e-07    6.325148e-21    2.967619e-16    1.463247e-10    2.759351e-09    6.051328e-07    4.118087e-07    4.392075e-06    1.636136e-16    3.666446e-13    1.735767e-09    1.089318e-08    6.314556e-07    1.021996e-21    5.203006e-17    1.936042e-11    4.648954e-10    2.227051e-07    1.461502e-07    1.017771e-06    9.862541e-18    6.286120e-14    6.127159e-10    2.401725e-09    5.615569e-08    4.859075e-23    6.163550e-18    4.951181e-12    1.011646e-10    1.789445e-08    1.888251e-07    1.060460e-18    1.332304e-15    1.057493e-11    7.468228e-10    3.099854e-07    3.140196e-20    6.345937e-14    1.914108e-11    4.722303e-08    2.069380e-06    3.670273e-04    5.507209e-20    7.581402e-16    3.775226e-11    9.879726e-09    6.947497e-06    1.897550e-04    2.551950e-02    3.347393e-20    8.803819e-14    8.389269e-11    2.913380e-07    2.060192e-05    7.101185e-03    3.503487e-02    3.565761e-01    9.170666e-20    2.404643e-15    1.521828e-10    5.754354e-08    6.682672e-05    1.393172e-03    5.120007e-02    8.881291e-20    1.315273e-13    1.531159e-10    7.860097e-07    5.776572e-05    9.365251e-03    4.108352e-02    3.814108e-01    4.029969e-20    3.002656e-15    2.777510e-10    5.534331e-08    1.891566e-05    3.127711e-04    1.016971e-02    4.643353e-20    1.136018e-13    5.819261e-11    6.072652e-08    3.710938e-06    4.814136e-04    4.142821e-03    7.470858e-02    6.343086e-21    8.049144e-17    7.523976e-13    2.159210e-10    9.240927e-08    2.921093e-06    1.688005e-04    1.336913e-17    1.201309e-14    2.235911e-11    2.084846e-09    5.537673e-07
    27    3.575220e-01    2.104129e-02    2.583382e-02    3.883932e-05    5.074122e-07    4.935118e-11    2.793543e-12    8.412614e-15    5.219797e-04    1.854461e-15    9.098627e-16    5.686076e-19    7.223164e-15    2.356772e-27    1.500975e-17    9.017932e-15    2.568495e-10    1.496767e-12    6.401678e-17    1.685445e-14    3.864657e-12    7.415821e-22    5.897216e-17    1.060802e-10    3.847024e-13    1.140474e-13    6.417199e-18    7.635866e-17    1.084250e-14    8.781114e-24    6.754029e-20    4.202679e-13    3.450075e-13    4.683524e-12    1.192162e-18    5.077254e-16    2.170807e-12    2.203556e-23    2.958266e-18    1.754647e-11    1.824351e-11    1.424752e-09    1.626249e-17    1.978708e-14    1.147200e-15    2.757938e-10    4.015357e-22    9.874955e-17    7.128821e-10    5.647592e-09    4.281602e-07    1.247410e-07    3.205128e-07    1.347144e-15    1.803692e-12    4.639294e-09    1.580840e-08    2.785816e-07    1.018972e-20    4.440950e-16    2.150420e-10    3.497596e-09    6.970450e-07    3.963225e-07    3.750862e-06    2.525366e-16    5.157302e-13    2.281845e-09    1.229341e-08    6.395153e-07    1.749243e-21    8.295373e-17    3.024936e-11    6.267600e-10    2.756693e-07    1.499424e-07    9.164081e-07    1.598124e-17    9.453661e-14    8.675864e-10    2.876196e-09    5.916744e-08    8.745755e-23    1.048174e-17    8.304091e-12    1.451132e-10    2.312962e-08    2.083966e-07    1.799358e-18    2.063357e-15    1.519408e-11    9.455314e-10    3.561569e-07    5.412158e-20    1.083544e-13    2.884268e-11    6.641394e-08    2.534461e-06    4.075664e-04    9.888372e-20    1.254045e-15    5.940198e-11    1.385092e-08    8.892644e-06    2.123202e-04    2.586052e-02    6.184444e-20    1.626009e-13    1.390612e-10    4.497527e-07    2.783473e-05    8.796423e-03    3.696574e-02    3.309209e-01    1.787657e-19    4.366058e-15    2.636585e-10    8.876258e-08    9.525880e-05    1.717011e-03    5.619749e-02    1.797811e-19    2.637395e-13    2.757867e-10    1.330026e-06    8.537673e-05    1.251493e-02    4.670271e-02    3.811179e-01    8.486251e-20    5.918494e-15    5.273413e-10    9.239406e-08    2.872481e-05    4.093670e-04    1.184168e-02    1.016626e-19    2.502634e-13    1.134083e-10    1.085923e-07    5.767836e-06    6.759912e-04    4.950600e-03    7.967415e-02    1.426190e-20    1.659925e-16    1.449634e-12    3.670585e-10    1.431920e-07    3.927331e-06    2.033486e-04    2.865471e-17    2.285447e-14    3.956221e-11    3.211137e-09    7.761523e-07
    28    3.833907e-01    4.880562e-02    2.586872e-02    3.006481e-05    5.489839e-07    4.109362e-11    1.919605e-12    7.971087e-15    5.196663e-04    1.505682e-15    6.203293e-16    5.231745e-19    5.199532e-15    2.233381e-27    1.251754e-17    6.760398e-15    2.619550e-10    1.230287e-12    6.972104e-17    1.617279e-14    3.324525e-12    9.039977e-22    6.656189e-17    1.161835e-10    3.346953e-13    8.610288e-14    7.289875e-18    7.625159e-17    9.369950e-15    1.116737e-23    7.616206e-20    4.706755e-13    3.301987e-13    3.781082e-12    1.468989e-18    5.385435e-16    2.154726e-12    2.961066e-23    3.754369e-18    2.239159e-11    1.872502e-11    1.336913e-09    2.145036e-17    2.394157e-14    1.382063e-15    3.095843e-10    6.084764e-22    1.410737e-16    9.773850e-10    6.786082e-09    4.605471e-07    1.113549e-07    2.486721e-07    2.033456e-15    2.466829e-12    5.830928e-09    1.686677e-08    2.621663e-07    1.728091e-20    6.924942e-16    3.243347e-10    4.536259e-09    8.149143e-07    3.869451e-07    3.231447e-06    4.057099e-16    7.499767e-13    3.068277e-09    1.415524e-08    6.562224e-07    3.153470e-21    1.378677e-16    4.855431e-11    8.652124e-10    3.462364e-07    1.561709e-07    8.340445e-07    2.697966e-17    1.469758e-13    1.256010e-09    3.517260e-09    6.335986e-08    1.660232e-22    1.858831e-17    1.430264e-11    2.132276e-10    3.041515e-08    2.334383e-07    3.177966e-18    3.315663e-15    2.243350e-11    1.223773e-09    4.151614e-07    9.776042e-20    1.908959e-13    4.461026e-11    9.487585e-08    3.140415e-06    4.544739e-04    1.859484e-19    2.152656e-15    9.584225e-11    1.979132e-08    1.150394e-05    2.390653e-04    2.617410e-02    1.197319e-19    3.095230e-13    2.359394e-10    7.036366e-07    3.794402e-05    1.090076e-02    3.893725e-02    3.050937e-01    3.643518e-19    8.206854e-15    4.671422e-10    1.391752e-07    1.367454e-04    2.123960e-03    6.154100e-02    3.803947e-19    5.441869e-13    5.077378e-10    2.275937e-06    1.270508e-04    1.671648e-02    5.296296e-02    3.781332e-01    1.866505e-19    1.205933e-14    1.021417e-09    1.566195e-07    4.394749e-05    5.381205e-04    1.377002e-02    2.324795e-19    5.661348e-13    2.257428e-10    1.966734e-07    9.042978e-06    9.501190e-04    5.909687e-03    8.437134e-02    3.353279e-20    3.549160e-16    2.866004e-12    6.365280e-10    2.245731e-07    5.324044e-06    2.454644e-04    6.362427e-17    4.479189e-14    7.141037e-11    5.024641e-09    1.095286e-06
    29    4.092912e-01    5.981933e-02    2.590046e-02    2.284843e-05    5.850613e-07    3.319046e-11    1.266205e-12    7.267414e-15    5.098304e-04    1.171123e-15    4.013775e-16    4.597427e-19    3.576373e-15    1.997875e-27    9.902291e-18    4.831199e-15    2.576290e-10    9.633363e-13    7.232589e-17    1.477725e-14    2.742397e-12    1.040192e-21    7.198267e-17    1.220193e-10    2.755747e-13    6.157409e-14    7.843187e-18    7.223548e-17    7.632013e-15    1.347318e-23    8.122926e-20    5.009516e-13    3.002416e-13    2.862748e-12    1.714140e-18    5.366259e-16    2.021796e-12    3.731829e-23    4.497989e-18    2.733898e-11    1.808718e-11    1.188441e-09    2.665144e-17    2.742452e-14    1.573524e-15    3.556933e-10    8.731813e-22    2.063009e-16    1.383490e-09    8.381092e-09    5.087385e-07    1.013957e-07    1.963191e-07    3.138991e-15    3.455104e-12    7.511425e-09    1.836661e-08    2.516420e-07    2.988053e-20    1.103984e-15    5.029399e-10    6.033948e-09    9.785356e-07    3.855410e-07    2.832000e-06    6.643037e-16    1.115111e-12    4.222481e-09    1.660879e-08    6.861608e-07    5.786734e-21    2.335520e-16    7.981641e-11    1.221962e-09    4.463350e-07    1.654752e-07    7.687885e-07    4.622825e-17    2.333599e-13    1.856973e-09    4.373333e-09    6.881425e-08    3.200639e-22    3.350043e-17    2.521550e-11    3.201578e-10    4.086500e-08    2.650795e-07    5.668273e-18    5.413024e-15    3.357736e-11    1.604273e-09    4.878771e-07    1.781932e-19    3.416427e-13    6.964007e-11    1.381971e-07    3.940066e-06    5.109241e-04    3.508997e-19    3.742965e-15    1.564317e-10    2.845799e-08    1.509319e-05    2.713230e-04    2.658254e-02    2.330169e-19    5.934578e-13    4.058334e-10    1.114227e-06    5.205691e-05    1.366425e-02    4.113988e-02    2.803442e-01    7.476855e-19    1.551313e-14    8.321564e-10    2.200513e-07    1.973699e-04    2.622956e-03    6.698263e-02    8.036920e-19    1.132157e-12    9.381865e-10    3.903996e-06    1.888194e-04    2.242769e-02    5.981386e-02    3.712468e-01    4.091571e-19    2.445643e-14    1.974104e-09    2.659493e-07    6.707579e-05    6.998419e-04    1.568853e-02    6.043369e-19    1.475503e-12    5.133239e-10    4.041343e-07    1.561319e-05    1.339947e-03    7.007074e-03    8.827031e-02    8.935495e-20    8.507413e-16    6.210369e-12    1.103236e-09    3.497237e-07    7.111156e-06    2.905967e-04    1.420012e-16    8.803412e-14    1.285529e-10    7.727356e-09    1.532426e-06
    30    4.352207e-01    1.660234e-01    2.592950e-02    1.749613e-05    6.270604e-07    2.714060e-11    8.510795e-13    6.739083e-15    5.038471e-04    9.281196e-16    2.662655e-16    4.111074e-19    2.508810e-15    1.826821e-27    8.008667e-18    3.527666e-15    2.572353e-10    7.706151e-13    7.652964e-17    1.381881e-14    2.300674e-12    1.226614e-21    7.902463e-17    1.308552e-10    2.331757e-13    4.488630e-14    8.659103e-18    6.962509e-17    6.411736e-15    1.652017e-23    8.870921e-20    5.473560e-13    2.782788e-13    2.250080e-12    2.033271e-18    5.530522e-16    1.951942e-12    4.849680e-23    5.533987e-18    3.400279e-11    1.813090e-11    1.089173e-09    3.438108e-17    3.228266e-14    1.843092e-15    3.893245e-10    1.280319e-21    2.857420e-16    1.865483e-09    9.851086e-09    5.361795e-07    8.837609e-08    1.485746e-07    4.599128e-15    4.609011e-12    9.241397e-09    1.912952e-08    2.314505e-07    4.911474e-20    1.677665e-15    7.430333e-10    7.661137e-09    1.122460e-06    3.680843e-07    2.387454e-06    1.034458e-15    1.581568e-12    5.556534e-09    1.869874e-08    6.893004e-07    1.011169e-20    3.775191e-16    1.255010e-10    1.651606e-09    5.504618e-07    1.686219e-07    6.850710e-07    7.545278e-17    3.539437e-13    2.633806e-09    5.230513e-09    7.212487e-08    5.883885e-22    5.780325e-17    4.258274e-11    4.607260e-10    5.275039e-08    2.908727e-07    9.618709e-18    8.474436e-15    4.846674e-11    2.030609e-09    5.575410e-07    3.124528e-19    5.889898e-13    1.054369e-10    1.941239e-07    4.797550e-06    5.611267e-04    6.409437e-19    6.265368e-15    2.473227e-10    3.987886e-08    1.920373e-05    3.003927e-04    2.650546e-02    4.385043e-19    1.106645e-12    6.756306e-10    1.717277e-06    6.989209e-05    1.672737e-02    4.271536e-02    2.547753e-01    1.482588e-18    2.848751e-14    1.447756e-09    3.390662e-07    2.793277e-04    3.195764e-03    7.232585e-02    1.655317e-18    2.290979e-12    1.696654e-09    6.592089e-06    2.771738e-04    2.960854e-02    6.689302e-02    3.633461e-01    8.761024e-19    4.872579e-14    3.760386e-09    4.434987e-07    1.011966e-04    9.058440e-04    1.797569e-02    1.342373e-18    3.269620e-12    1.001548e-09    7.197014e-07    2.405371e-05    1.863062e-03    8.255335e-03    9.237215e-02    2.039922e-19    1.771610e-15    1.200883e-11    1.879836e-09    5.402501e-07    9.484812e-06    3.457576e-04    3.084626e-16    1.688583e-13    2.279512e-10    1.187880e-08    2.131091e-06
    31    4.611769e-01    3.571509e-02    2.595620e-02    1.363710e-05    6.755842e-07    2.260716e-11    5.877125e-13    6.345908e-15    5.012400e-04    7.515936e-16    1.818120e-16    3.742687e-19    1.805437e-15    1.707881e-27    6.609593e-18    2.638916e-15    2.587645e-10    6.274356e-13    8.166993e-17    1.308710e-14    1.958448e-12    1.455539e-21    8.728114e-17    1.408434e-10    2.002651e-13    3.351555e-14    9.626939e-18    6.804890e-17    5.493387e-15    2.039551e-23    9.769229e-20    6.001372e-13    2.615055e-13    1.808385e-12    2.422654e-18    5.771892e-16    1.907241e-12    6.337162e-23    6.829014e-18    4.227309e-11    1.837734e-11    1.009829e-09    4.467184e-17    3.814394e-14    2.167464e-15    4.279165e-10    1.873735e-21    3.947054e-16    2.508060e-09    1.157772e-08    5.666624e-07    7.786616e-08    1.141750e-07    6.688682e-15    6.124209e-12    1.133896e-08    1.998925e-08    2.144283e-07    8.000956e-20    2.530632e-15    1.086255e-09    9.680219e-09    1.284293e-06    3.531615e-07    2.030456e-06    1.591447e-15    2.225832e-12    7.259023e-09    2.102495e-08    6.936458e-07    1.744252e-20    6.028785e-16    1.945275e-10    2.212932e-09    6.740708e-07    1.720041e-07    6.140748e-07    1.211625e-16    5.303533e-13    3.691166e-09    6.224486e-09    7.555941e-08    1.064006e-21    9.812385e-17    7.056433e-11    6.546169e-10    6.743926e-08    3.180945e-07    1.596150e-17    1.308263e-14    6.907036e-11    2.548338e-09    6.334762e-07    5.385349e-19    9.952876e-13    1.571518e-10    2.686440e-07    5.784730e-06    6.119629e-04    1.147799e-18    1.029911e-14    3.838777e-10    5.506728e-08    2.412820e-05    3.300358e-04    2.629901e-02    8.076553e-19    2.012846e-12    1.100558e-09    2.592570e-06    9.236446e-05    2.019693e-02    4.402721e-02    2.308899e-01    2.866882e-18    5.107293e-14    2.457848e-09    5.117264e-07    3.877934e-04    3.840982e-03    7.733177e-02    3.317170e-18    4.497896e-12    2.986815e-09    1.084178e-05    3.982438e-04    3.836740e-02    7.391084e-02    3.529902e-01    1.820456e-18    9.428529e-14    6.949078e-09    7.207797e-07    1.491724e-04    1.152180e-03    2.032041e-02    2.886819e-18    6.988074e-12    1.892748e-09    1.244058e-06    3.615643e-05    2.534724e-03    9.579013e-03    9.556271e-02    4.502784e-19    3.574460e-15    2.251823e-11    3.118977e-09    8.147092e-07    1.241503e-05    4.051833e-04    6.477103e-16    3.143510e-13    3.927820e-10    1.783421e-08    2.899307e-06
    32    4.871577e-01    1.703917e-01    2.598086e-02    1.047677e-05    7.241228e-07    1.851178e-11    3.960449e-13    5.880720e-15    4.959502e-04    5.959802e-16    1.207662e-16    3.338212e-19    1.266893e-15    1.557932e-27    5.300512e-18    1.921631e-15    2.554448e-10    4.966408e-13    8.527317e-17    1.211467e-14    1.626167e-12    1.690328e-21    9.453223e-17    1.490972e-10    1.674631e-13    2.409424e-14    1.048546e-17    6.452952e-17    4.574961e-15    2.459114e-23    1.051783e-19    6.460279e-13    2.385605e-13    1.410649e-12    2.809166e-18    5.883354e-16    1.816872e-12    8.117479e-23    8.260833e-18    5.163428e-11    1.823899e-11    9.142592e-10    5.732645e-17    4.419550e-14    2.498281e-15    4.615492e-10    2.696042e-21    5.364978e-16    3.344529e-09    1.341101e-08    5.891785e-07    6.704630e-08    8.540047e-08    9.594058e-15    8.033181e-12    1.373748e-08    2.050763e-08    1.945954e-07    1.288900e-19    3.779858e-15    1.576566e-09    1.209305e-08    1.451359e-06    3.325177e-07    1.689839e-06    2.417061e-15    3.100210e-12    9.387898e-09    2.329723e-08    6.864907e-07    2.982791e-20    9.547451e-16    3.000574e-10    2.939000e-09    8.178211e-07    1.726312e-07    5.399488e-07    1.921574e-16    7.886676e-13    5.137720e-09    7.318011e-09    7.797403e-08    1.910548e-21    1.656177e-16    1.167417e-10    9.243510e-10    8.556738e-08    3.434103e-07    2.609969e-17    2.005848e-14    9.775524e-11    3.166331e-09    7.117780e-07    9.227419e-19    1.679234e-12    2.331433e-10    3.704327e-07    6.922377e-06    6.615139e-04    2.046842e-18    1.686554e-14    5.944074e-10    7.566653e-08    3.015354e-05    3.593485e-04    2.582043e-02    1.483884e-18    3.668043e-12    1.793322e-09    3.916758e-06    1.217113e-04    2.431028e-02    4.499460e-02    2.067746e-01    5.543802e-18    9.161092e-14    4.181763e-09    7.722740e-07    5.382123e-04    4.595035e-03    8.210106e-02    6.658214e-18    8.883329e-12    5.279197e-09    1.791928e-05    5.729197e-04    4.971774e-02    8.121948e-02    3.399732e-01    3.795434e-18    1.831902e-13    1.292394e-08    1.175525e-06    2.204158e-04    1.462378e-03    2.289244e-02    6.239077e-18    1.508804e-11    3.603213e-09    2.165775e-06    5.454084e-05    3.446059e-03    1.104343e-02    9.797839e-02    1.147810e-18    8.296771e-15    4.871782e-11    5.902789e-09    1.407922e-06    1.846734e-05    5.397687e-04    1.545758e-15    6.627392e-13    7.640452e-10    2.984783e-08    3.980795e-06
    33    5.131615e-01    1.236987e-01    2.600373e-02    8.090361e-06    7.752120e-07    1.519609e-11    2.684057e-13    5.446395e-15    4.907283e-04    4.731172e-16    8.054834e-17    2.969451e-19    8.913532e-16    1.414829e-27    4.235951e-18    1.401809e-15    2.508644e-10    3.924284e-13    8.834690e-17    1.116097e-14    1.345680e-12    1.942003e-21    1.014279e-16    1.566968e-10    1.395348e-13    1.733619e-14    1.131434e-17    6.084331e-17    3.807956e-15    2.931525e-23    1.121556e-19    6.895685e-13    2.168055e-13    1.103979e-12    3.217454e-18    5.974256e-16    1.724877e-12    1.029125e-22    9.885519e-18    6.249284e-11    1.806490e-11    8.260615e-10    7.333492e-17    5.078562e-14    2.855767e-15    4.947633e-10    3.825350e-21    7.200801e-16    4.427323e-09    1.542049e-08    6.094181e-07    5.760447e-08    6.387295e-08    1.355540e-14    1.042151e-11    1.649902e-08    2.090308e-08    1.759140e-07    2.041837e-19    5.568517e-15    2.258965e-09    1.495410e-08    1.627206e-06    3.114796e-07    1.402508e-06    3.600736e-15    4.259763e-12    1.200101e-08    2.558737e-08    6.748686e-07    5.002239e-20    1.486113e-15    4.557619e-10    3.853864e-09    9.816349e-07    1.719325e-07    4.725152e-07    2.978375e-16    1.153699e-12    7.049401e-09    8.505828e-09    7.976159e-08    3.354494e-21    2.740113e-16    1.896577e-10    1.285181e-09    1.071747e-07    3.670120e-07    4.145385e-17    3.018399e-14    1.361176e-10    3.879532e-09    7.908944e-07    1.546577e-18    2.776435e-12    3.399099e-10    5.029076e-07    8.179236e-06    7.080349e-04    3.566320e-18    2.704092e-14    9.032333e-10    1.023111e-07    3.715781e-05    3.868944e-04    2.513424e-02    2.660854e-18    6.536656e-12    2.863570e-09    5.813392e-06    1.580104e-04    2.889654e-02    4.554322e-02    1.839217e-01    1.044580e-17    1.605287e-13    6.966283e-09    1.143889e-06    7.350011e-04    5.424750e-03    8.625119e-02    1.301218e-17    1.711266e-11    9.126396e-09    2.904037e-05    8.103088e-04    6.348094e-02    8.820023e-02    3.245444e-01    7.695184e-18    3.470123e-13    2.348235e-08    1.877630e-06    3.198208e-04    1.827615e-03    2.543706e-02    1.310099e-17    3.170083e-11    6.693763e-09    3.688683e-06    8.065909e-05    4.619631e-03    1.259390e-02    9.968020e-02    2.465968e-18    1.633007e-14    8.936992e-11    9.580062e-09    2.080206e-06    2.365060e-05    6.193986e-04    3.169336e-15    1.204817e-12    1.289591e-09    4.384176e-08    5.328338e-06
