   1.00000e-01   1.00000e-01   7700   1.49206e+00   2.84520e+00   1.35314e+00  -1.19572e+51  -1.19572e+51   2.67886e-03   5.26334e-03   5.16865e-05   7.35263e-06   3.24230e-06   5.99460e-02   8.71348e-07   2.40844e-07   5.19841e-08   3.53624e-07   6.12398e-11   5.38503e-08   2.01028e-07   1.67899e-02   1.12280e-06   5.72477e-08   3.07690e-07   1.38382e-06   3.36605e-08   6.05915e-01   6.08096e-07   1.85891e-06   1.80825e-08   3.39253e-08   1.52813e-07   1.70941e-01   4.67693e-03   5.83517e-02   3.47038e-03   1.67974e-01   1.23590e-03   1.00131e-01   7.91035e-04   2.16413e-02   1.21348e-03   1.70253e-02   3.07577e-05   1.12517e-04   2.60876e-04   5.45909e-04   2.65187e-03   2.82590e-03   4.78213e-03   4.45987e-02   1.29923e-02   1.09356e-02   1.56994e-02   7.84145e-03   1.17463e-02
   1.00000e-01   1.00000e-01   7700   1.49762e+00   2.84520e+00   1.34758e+00  -1.11466e+51  -1.11466e+51   1.67381e-03   4.47474e-03   1.53218e-05   2.12224e-06   6.50741e-07   5.62291e-02   2.81936e-07   1.00285e-07   1.39321e-08   2.20816e-07   4.05938e-12   3.05189e-08   1.53703e-07   1.67886e-02   1.00902e-06   4.76450e-08   2.75677e-07   1.32053e-06   3.06372e-08   6.05915e-01   5.77583e-07   1.85369e-06   1.66447e-08   3.10661e-08   1.45882e-07   1.70941e-01   4.67692e-03   5.83517e-02   3.47037e-03   1.67974e-01   1.23588e-03   1.00131e-01   7.91031e-04   2.16413e-02   1.21348e-03   1.70253e-02   3.07576e-05   1.12517e-04   2.60876e-04   5.45910e-04   2.65187e-03   2.82590e-03   4.78213e-03   4.45988e-02   1.29923e-02   1.09356e-02   1.56994e-02   7.84146e-03   1.17463e-02
   1.00000e-01   1.00000e-01   7700   1.58931e+00   2.84520e+00   1.25589e+00  -5.52395e+50  -5.52395e+50   6.26277e-07   1.93279e-03   1.66477e-09   8.72128e-13   2.98329e-10   8.82516e-03   1.09040e-12   4.23543e-15   2.94665e-13   4.70194e-14   3.76212e-18   7.44208e-14   1.19072e-13   1.67646e-02   1.60175e-10   2.38349e-10   6.19530e-09   2.78064e-07   5.64928e-10   6.05896e-01   5.05518e-09   1.76691e-06   1.02142e-10   5.61644e-10   1.35305e-08   1.70938e-01   4.67582e-03   5.83400e-02   3.45659e-03   1.67473e-01   1.13863e-03   9.97672e-02   6.72405e-04   2.10333e-02   1.10976e-03   1.68661e-02   9.68805e-06   9.21842e-05   1.39289e-04   4.79423e-04   1.88544e-03   2.60381e-03   3.58373e-03   3.27817e-02   4.56569e-03   2.12811e-03   1.32666e-02   4.13675e-03   1.13255e-02
   1.00000e-01   1.00000e-01   7700   1.68934e+00   2.84520e+00   1.15586e+00  -3.11073e+50  -3.11073e+50   8.87439e-11   8.62521e-05   2.41079e-14   1.14075e-19   1.24834e-14   7.34913e-05   3.20767e-19   2.37648e-22   4.47186e-18   7.34882e-20   1.22139e-24   3.40543e-18   2.64728e-17   1.67636e-02   1.40337e-10   2.30950e-11   6.05853e-09   2.77979e-07   2.06070e-10   6.05887e-01   5.02929e-09   1.76689e-06   3.35464e-12   5.57938e-10   1.35279e-08   1.70936e-01   4.67576e-03   5.83355e-02   3.45641e-03   1.60712e-01   1.07455e-03   9.29941e-02   5.77955e-04   1.83278e-02   9.79997e-04   1.44139e-02   8.06358e-07   2.30830e-05   2.51905e-05   9.84886e-05   1.39358e-04   3.12441e-04   1.80789e-04   3.04333e-03   3.63386e-05   3.48345e-04   8.77553e-04   4.21052e-05   1.43888e-03
   1.00000e-01   1.00000e-01   7700   1.77825e+00   2.84520e+00   1.06695e+00  -2.21507e+50  -2.21507e+50   7.90007e-14   1.36019e-07   1.28363e-19   2.12800e-24   2.26685e-20   1.24104e-06   2.15166e-24   3.68695e-29   1.08276e-24   1.48916e-25   3.79975e-34   4.01528e-22   2.64166e-17   1.67629e-02   1.40271e-10   3.93228e-14   6.05487e-09   2.77979e-07   1.69797e-10   6.05886e-01   5.02925e-09   1.76689e-06   1.69276e-14   5.57934e-10   1.35279e-08   1.70936e-01   4.67576e-03   5.83270e-02   3.45638e-03   1.14797e-01   1.01774e-03   6.51402e-02   5.33167e-04   1.25617e-02   9.37706e-04   1.09729e-02   5.62132e-07   8.64134e-06   2.10411e-05   3.80490e-05   4.26155e-05   9.37083e-06   4.76351e-06   4.64707e-04   4.07864e-06   3.44950e-04   2.85620e-06   7.75903e-08   5.79223e-07
   1.00000e-01   1.00000e-01   7700   1.88939e+00   2.84520e+00   9.55810e-01  -1.48850e+50  -1.48850e+50   8.58811e-17   9.74896e-11   1.27764e-25   1.97002e-24   8.28225e-25   9.79969e-09   1.14683e-28   1.79544e-30   5.06642e-31   6.25278e-31   1.09615e-43   4.49017e-25   2.64165e-17   1.67625e-02   1.40270e-10   2.70845e-14   6.05485e-09   2.77979e-07   1.69702e-10   6.05843e-01   5.02925e-09   1.76689e-06   1.68171e-15   5.57934e-10   1.35279e-08   1.70936e-01   4.67576e-03   5.83260e-02   3.45636e-03   5.98648e-02   6.83608e-04   2.55412e-02   2.05977e-04   4.39012e-03   4.21682e-04   4.18386e-03   8.70479e-08   1.11902e-06   8.85811e-06   1.14271e-05   1.46529e-05   1.26843e-06   1.03305e-06   1.31093e-04   2.97498e-06   3.44736e-04   5.18785e-08   1.17001e-08   1.78172e-09
   1.00000e-01   1.00000e-01   7700   1.97830e+00   2.84520e+00   8.66897e-01  -1.01599e+50  -1.01599e+50   2.03183e-17   8.05978e-13   4.57068e-28   3.25517e-25   3.72207e-25   4.42211e-09   4.39103e-30   1.88164e-31   1.42616e-33   4.81876e-33   4.93747e-50   6.21095e-26   2.57054e-17   1.67624e-02   1.40240e-10   2.70594e-14   6.05367e-09   2.77979e-07   1.69699e-10   5.88864e-01   5.02855e-09   1.76689e-06   1.32913e-15   5.57933e-10   1.35279e-08   1.70936e-01   4.67576e-03   5.60452e-02   3.29023e-03   2.45483e-02   4.14381e-04   9.77076e-04   4.00782e-06   1.79872e-05   8.23595e-07   1.68347e-05   4.06468e-11   2.61167e-10   3.42329e-15   5.17881e-17   5.26165e-21   3.51761e-21   2.83651e-16   4.02901e-06   2.56584e-06   3.35730e-04   3.75216e-09   1.03355e-08   4.59605e-12
   1.00000e-01   1.00000e-01   7700   2.08944e+00   2.84520e+00   7.55757e-01  -6.34823e+49  -6.34823e+49   6.12753e-18   7.26356e-13   3.20486e-28   1.71362e-26   3.37236e-25   4.37372e-09   5.05180e-33   4.50844e-32   1.08150e-33   1.51103e-34   9.85124e-51   2.42248e-26   2.55259e-17   1.67623e-02   1.40226e-10   2.70594e-14   6.05306e-09   2.77979e-07   1.69699e-10   5.02518e-01   5.02799e-09   1.76689e-06   1.19422e-15   5.57934e-10   1.35279e-08   1.70935e-01   4.67575e-03   4.36055e-02   2.33555e-03   1.38901e-02   1.65260e-04   5.35662e-04   2.32965e-06   1.50275e-05   7.12201e-07   1.46762e-05   3.01482e-11   1.72592e-10   2.07190e-15   3.38637e-17   1.41680e-22   1.20062e-21   1.47704e-18   3.51178e-06   2.23922e-06   2.92684e-04   3.74947e-09   1.03047e-08   4.04190e-12
   1.00000e-01   1.00000e-01   7700   2.17836e+00   2.84520e+00   6.66844e-01  -4.94649e+49  -4.94649e+49   6.09763e-18   4.07077e-13   3.20102e-28   1.71296e-26   3.37189e-25   3.36497e-09   4.99977e-33   4.50840e-32   1.08100e-33   1.50710e-34   8.96210e-51   2.42194e-26   2.55259e-17   1.67546e-02   1.40226e-10   2.69066e-14   6.05305e-09   2.77979e-07   1.69696e-10   4.33701e-01   5.02797e-09   1.76689e-06   6.94534e-16   5.57934e-10   1.35279e-08   1.70118e-01   4.67454e-03   3.31312e-02   1.48200e-03   6.40252e-03   7.05595e-05   2.17075e-04   1.12145e-06   1.26384e-05   6.26449e-07   1.29446e-05   1.49915e-11   8.02519e-11   7.08311e-16   9.10246e-18   3.90492e-23   4.82636e-22   3.47717e-19   3.09965e-06   1.97930e-06   2.58249e-04   3.13244e-09   6.01008e-09   1.71854e-12
   1.00000e-01   1.00000e-01   7700   2.28950e+00   2.84520e+00   5.55703e-01  -3.90133e+49  -3.90133e+49   6.09724e-18   3.34442e-14   3.19991e-28   1.71296e-26   3.37160e-25   1.40477e-09   4.99742e-33   4.50840e-32   1.08086e-33   1.50678e-34   7.85069e-51   2.42187e-26   2.55259e-17   1.67089e-02   1.40226e-10   2.65116e-14   6.05305e-09   2.77979e-07   1.69685e-10   3.52584e-01   5.02797e-09   1.76689e-06   6.97493e-17   5.57933e-10   1.35279e-08   1.60365e-01   4.66421e-03   1.91327e-02   3.72914e-04   1.54151e-03   1.15872e-05   7.79620e-05   6.22748e-07   1.03417e-05   5.20306e-07   1.07844e-05   2.74416e-12   1.39456e-11   8.18690e-17   8.73104e-19   3.69260e-24   4.19030e-23   2.68376e-20   2.58640e-06   1.65401e-06   2.15205e-04   6.26525e-10   9.60039e-10   1.68533e-13
